
2017-01-31 04:52:00,	normal, 	0,	 -7.2℃	+0.00[kg/m^2]  -> 2.920[kg/m^2]
2017-01-31 04:55:00,	normal, 	0,	 -7.2℃	+0.00[kg/m^2]  -> 2.914[kg/m^2]
2017-01-31 04:58:00,	random, 	0,	 -7.2℃	+0.00[kg/m^2]  -> 2.912[kg/m^2]
2017-01-31 05:01:00,	normal, 	0,	 -7.2℃	+0.00[kg/m^2]  -> 2.911[kg/m^2]
2017-01-31 05:04:00,	normal, 	0,	 -7.2℃	+0.00[kg/m^2]  -> 2.910[kg/m^2]
2017-01-31 05:07:00,	normal, 	0,	 -7.2℃	+0.00[kg/m^2]  -> 2.910[kg/m^2]
2017-01-31 05:10:00,	normal, 	0,	 -7.0℃	+0.00[kg/m^2]  -> 2.910[kg/m^2]
2017-01-31 05:13:00,	normal, 	0,	 -7.0℃	+0.00[kg/m^2]  -> 2.910[kg/m^2]
2017-01-31 05:16:00,	random, 	1,	 -7.0℃	+0.00[kg/m^2]  -> 2.910[kg/m^2]
2017-01-31 05:19:00,	normal, 	0,	 -7.0℃	+0.00[kg/m^2]  -> 2.880[kg/m^2]
2017-01-31 05:22:00,	random, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 2.868[kg/m^2]
2017-01-31 05:25:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 2.862[kg/m^2]
2017-01-31 05:28:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 2.860[kg/m^2]
2017-01-31 05:31:00,	normal, 	0,	 -6.6℃	+0.00[kg/m^2]  -> 2.859[kg/m^2]
2017-01-31 05:34:00,	normal, 	0,	 -6.6℃	+0.00[kg/m^2]  -> 2.859[kg/m^2]
2017-01-31 05:37:00,	normal, 	0,	 -6.6℃	+0.00[kg/m^2]  -> 2.859[kg/m^2]
2017-01-31 05:40:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 2.859[kg/m^2]
2017-01-31 05:43:00,	random, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 2.859[kg/m^2]
2017-01-31 05:46:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 2.859[kg/m^2]
2017-01-31 05:49:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 2.859[kg/m^2]
2017-01-31 05:52:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 2.859[kg/m^2]
2017-01-31 05:55:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 2.859[kg/m^2]
2017-01-31 05:58:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 2.859[kg/m^2]
2017-01-31 06:01:00,	normal, 	0,	 -6.8℃	+0.00[kg/m^2]  -> 2.859[kg/m^2]
2017-01-31 06:04:00,	random, 	0,	 -6.8℃	+0.00[kg/m^2]  -> 2.859[kg/m^2]
2017-01-31 06:07:00,	random, 	0,	 -6.8℃	+0.00[kg/m^2]  -> 2.859[kg/m^2]
2017-01-31 06:10:00,	normal, 	0,	 -6.9℃	+0.08[kg/m^2]  -> 2.937[kg/m^2]
2017-01-31 06:13:00,	normal, 	0,	 -6.9℃	+0.08[kg/m^2]  -> 3.015[kg/m^2]
2017-01-31 06:16:00,	normal, 	0,	 -6.9℃	+0.08[kg/m^2]  -> 3.093[kg/m^2]
2017-01-31 06:19:00,	normal, 	0,	 -6.9℃	+0.08[kg/m^2]  -> 3.171[kg/m^2]
2017-01-31 06:22:00,	normal, 	0,	 -6.9℃	+0.08[kg/m^2]  -> 3.249[kg/m^2]
2017-01-31 06:25:00,	normal, 	0,	 -6.9℃	+0.08[kg/m^2]  -> 3.327[kg/m^2]
2017-01-31 06:28:00,	random, 	1,	 -6.9℃	+0.08[kg/m^2]  -> 3.405[kg/m^2]
2017-01-31 06:31:00,	normal, 	0,	 -7.0℃	+0.08[kg/m^2]  -> 3.453[kg/m^2]
2017-01-31 06:34:00,	random, 	0,	 -7.0℃	+0.08[kg/m^2]  -> 3.519[kg/m^2]
2017-01-31 06:37:00,	random, 	1,	 -7.0℃	+0.08[kg/m^2]  -> 3.591[kg/m^2]
2017-01-31 06:40:00,	normal, 	0,	 -7.0℃	+0.08[kg/m^2]  -> 3.637[kg/m^2]
2017-01-31 06:43:00,	normal, 	0,	 -7.0℃	+0.08[kg/m^2]  -> 3.702[kg/m^2]
2017-01-31 06:46:00,	normal, 	0,	 -7.0℃	+0.08[kg/m^2]  -> 3.774[kg/m^2]
2017-01-31 06:49:00,	normal, 	0,	 -7.0℃	+0.08[kg/m^2]  -> 3.850[kg/m^2]
2017-01-31 06:52:00,	normal, 	0,	 -6.9℃	+0.08[kg/m^2]  -> 3.927[kg/m^2]
2017-01-31 06:55:00,	normal, 	0,	 -6.9℃	+0.08[kg/m^2]  -> 4.004[kg/m^2]
2017-01-31 06:58:00,	normal, 	0,	 -6.9℃	+0.08[kg/m^2]  -> 4.082[kg/m^2]
2017-01-31 07:01:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 4.160[kg/m^2]
2017-01-31 07:04:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 4.238[kg/m^2]
2017-01-31 07:07:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 4.316[kg/m^2]
2017-01-31 07:10:00,	normal, 	0,	 -6.5℃	+0.08[kg/m^2]  -> 4.394[kg/m^2]
2017-01-31 07:13:00,	normal, 	0,	 -6.5℃	+0.08[kg/m^2]  -> 4.472[kg/m^2]
2017-01-31 07:16:00,	random, 	0,	 -6.5℃	+0.08[kg/m^2]  -> 4.550[kg/m^2]
2017-01-31 07:19:00,	normal, 	0,	 -6.5℃	+0.08[kg/m^2]  -> 4.628[kg/m^2]
2017-01-31 07:22:00,	normal, 	0,	 -6.6℃	+0.08[kg/m^2]  -> 4.706[kg/m^2]
2017-01-31 07:25:00,	normal, 	0,	 -6.6℃	+0.08[kg/m^2]  -> 4.784[kg/m^2]
2017-01-31 07:28:00,	normal, 	0,	 -6.6℃	+0.08[kg/m^2]  -> 4.862[kg/m^2]
2017-01-31 07:31:00,	random, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 4.940[kg/m^2]
2017-01-31 07:34:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 5.018[kg/m^2]
2017-01-31 07:37:00,	random, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 5.096[kg/m^2]
2017-01-31 07:40:00,	random, 	1,	 -6.7℃	+0.08[kg/m^2]  -> 5.174[kg/m^2]
2017-01-31 07:43:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 5.222[kg/m^2]
2017-01-31 07:46:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 5.288[kg/m^2]
2017-01-31 07:49:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 5.361[kg/m^2]
2017-01-31 07:52:00,	normal, 	0,	 -7.3℃	+0.08[kg/m^2]  -> 5.436[kg/m^2]
2017-01-31 07:55:00,	normal, 	0,	 -7.3℃	+0.08[kg/m^2]  -> 5.513[kg/m^2]
2017-01-31 07:58:00,	normal, 	0,	 -7.3℃	+0.08[kg/m^2]  -> 5.591[kg/m^2]
2017-01-31 08:01:00,	normal, 	0,	 -7.7℃	+0.08[kg/m^2]  -> 5.669[kg/m^2]
2017-01-31 08:04:00,	normal, 	0,	 -7.7℃	+0.08[kg/m^2]  -> 5.747[kg/m^2]
2017-01-31 08:07:00,	normal, 	0,	 -7.7℃	+0.08[kg/m^2]  -> 5.825[kg/m^2]
2017-01-31 08:10:00,	normal, 	0,	 -7.5℃	+0.08[kg/m^2]  -> 5.903[kg/m^2]
2017-01-31 08:13:00,	normal, 	0,	 -7.5℃	+0.08[kg/m^2]  -> 5.981[kg/m^2]
2017-01-31 08:16:00,	normal, 	0,	 -7.5℃	+0.08[kg/m^2]  -> 6.059[kg/m^2]
2017-01-31 08:19:00,	normal, 	0,	 -7.5℃	+0.08[kg/m^2]  -> 6.137[kg/m^2]
2017-01-31 08:22:00,	normal, 	0,	 -7.3℃	+0.08[kg/m^2]  -> 6.215[kg/m^2]
2017-01-31 08:25:00,	random, 	1,	 -7.3℃	+0.08[kg/m^2]  -> 6.293[kg/m^2]
2017-01-31 08:28:00,	normal, 	0,	 -7.3℃	+0.08[kg/m^2]  -> 6.341[kg/m^2]
2017-01-31 08:31:00,	normal, 	0,	 -7.0℃	+0.08[kg/m^2]  -> 6.407[kg/m^2]
2017-01-31 08:34:00,	normal, 	0,	 -7.0℃	+0.08[kg/m^2]  -> 6.479[kg/m^2]
2017-01-31 08:37:00,	normal, 	0,	 -7.0℃	+0.08[kg/m^2]  -> 6.555[kg/m^2]
2017-01-31 08:40:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 6.632[kg/m^2]
2017-01-31 08:43:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 6.710[kg/m^2]
2017-01-31 08:46:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 6.788[kg/m^2]
2017-01-31 08:49:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 6.866[kg/m^2]
2017-01-31 08:52:00,	random, 	1,	 -6.6℃	+0.08[kg/m^2]  -> 6.944[kg/m^2]
2017-01-31 08:55:00,	random, 	0,	 -6.6℃	+0.08[kg/m^2]  -> 6.992[kg/m^2]
2017-01-31 08:58:00,	random, 	1,	 -6.6℃	+0.08[kg/m^2]  -> 7.057[kg/m^2]
2017-01-31 09:01:00,	normal, 	0,	 -6.4℃	+0.08[kg/m^2]  -> 7.100[kg/m^2]
2017-01-31 09:04:00,	normal, 	0,	 -6.4℃	+0.08[kg/m^2]  -> 7.163[kg/m^2]
2017-01-31 09:07:00,	normal, 	0,	 -6.4℃	+0.08[kg/m^2]  -> 7.235[kg/m^2]
2017-01-31 09:10:00,	normal, 	0,	 -6.3℃	+0.08[kg/m^2]  -> 7.311[kg/m^2]
2017-01-31 09:13:00,	random, 	1,	 -6.3℃	+0.08[kg/m^2]  -> 7.387[kg/m^2]
2017-01-31 09:16:00,	normal, 	0,	 -6.3℃	+0.08[kg/m^2]  -> 7.435[kg/m^2]
2017-01-31 09:19:00,	random, 	1,	 -6.3℃	+0.08[kg/m^2]  -> 7.501[kg/m^2]
2017-01-31 09:22:00,	normal, 	0,	 -6.1℃	+0.08[kg/m^2]  -> 7.543[kg/m^2]
2017-01-31 09:25:00,	normal, 	0,	 -6.1℃	+0.08[kg/m^2]  -> 7.607[kg/m^2]
2017-01-31 09:28:00,	normal, 	0,	 -6.1℃	+0.08[kg/m^2]  -> 7.678[kg/m^2]
2017-01-31 09:31:00,	normal, 	0,	 -6.2℃	+0.08[kg/m^2]  -> 7.754[kg/m^2]
2017-01-31 09:34:00,	normal, 	0,	 -6.2℃	+0.08[kg/m^2]  -> 7.831[kg/m^2]
2017-01-31 09:37:00,	normal, 	0,	 -6.2℃	+0.08[kg/m^2]  -> 7.908[kg/m^2]
2017-01-31 09:40:00,	normal, 	0,	 -6.0℃	+0.00[kg/m^2]  -> 7.908[kg/m^2]
2017-01-31 09:43:00,	normal, 	0,	 -6.0℃	+0.00[kg/m^2]  -> 7.908[kg/m^2]
2017-01-31 09:46:00,	normal, 	0,	 -6.0℃	+0.00[kg/m^2]  -> 7.908[kg/m^2]
2017-01-31 09:49:00,	normal, 	0,	 -6.0℃	+0.00[kg/m^2]  -> 7.908[kg/m^2]
2017-01-31 09:52:00,	normal, 	0,	 -5.9℃	+0.00[kg/m^2]  -> 7.908[kg/m^2]
