
2017-01-31 04:16:00,	normal, 	0,	 -7.6℃	+0.00[kg/m^2]  -> 2.942[kg/m^2]
2017-01-31 04:19:00,	normal, 	0,	 -7.6℃	+0.00[kg/m^2]  -> 2.942[kg/m^2]
2017-01-31 04:22:00,	random, 	0,	 -7.2℃	+0.00[kg/m^2]  -> 2.942[kg/m^2]
2017-01-31 04:25:00,	normal, 	0,	 -7.2℃	+0.00[kg/m^2]  -> 2.942[kg/m^2]
2017-01-31 04:28:00,	normal, 	0,	 -7.2℃	+0.00[kg/m^2]  -> 2.942[kg/m^2]
2017-01-31 04:31:00,	normal, 	0,	 -7.3℃	+0.00[kg/m^2]  -> 2.942[kg/m^2]
2017-01-31 04:34:00,	normal, 	0,	 -7.3℃	+0.00[kg/m^2]  -> 2.942[kg/m^2]
2017-01-31 04:37:00,	normal, 	0,	 -7.3℃	+0.00[kg/m^2]  -> 2.942[kg/m^2]
2017-01-31 04:40:00,	normal, 	0,	 -7.2℃	+0.00[kg/m^2]  -> 2.942[kg/m^2]
2017-01-31 04:43:00,	random, 	0,	 -7.2℃	+0.00[kg/m^2]  -> 2.942[kg/m^2]
2017-01-31 04:46:00,	normal, 	0,	 -7.2℃	+0.00[kg/m^2]  -> 2.942[kg/m^2]
2017-01-31 04:49:00,	random, 	1,	 -7.2℃	+0.00[kg/m^2]  -> 2.942[kg/m^2]
2017-01-31 04:52:00,	normal, 	0,	 -7.2℃	+0.00[kg/m^2]  -> 2.912[kg/m^2]
2017-01-31 04:55:00,	normal, 	0,	 -7.2℃	+0.00[kg/m^2]  -> 2.899[kg/m^2]
2017-01-31 04:58:00,	normal, 	0,	 -7.2℃	+0.00[kg/m^2]  -> 2.894[kg/m^2]
2017-01-31 05:01:00,	random, 	1,	 -7.2℃	+0.00[kg/m^2]  -> 2.892[kg/m^2]
2017-01-31 05:04:00,	normal, 	0,	 -7.2℃	+0.00[kg/m^2]  -> 2.861[kg/m^2]
2017-01-31 05:07:00,	normal, 	0,	 -7.2℃	+0.00[kg/m^2]  -> 2.848[kg/m^2]
2017-01-31 05:10:00,	normal, 	0,	 -7.0℃	+0.00[kg/m^2]  -> 2.843[kg/m^2]
2017-01-31 05:13:00,	normal, 	0,	 -7.0℃	+0.00[kg/m^2]  -> 2.841[kg/m^2]
2017-01-31 05:16:00,	normal, 	0,	 -7.0℃	+0.00[kg/m^2]  -> 2.840[kg/m^2]
2017-01-31 05:19:00,	random, 	0,	 -7.0℃	+0.00[kg/m^2]  -> 2.839[kg/m^2]
2017-01-31 05:22:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 2.839[kg/m^2]
2017-01-31 05:25:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 2.839[kg/m^2]
2017-01-31 05:28:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 2.839[kg/m^2]
2017-01-31 05:31:00,	random, 	1,	 -6.6℃	+0.00[kg/m^2]  -> 2.839[kg/m^2]
2017-01-31 05:34:00,	normal, 	0,	 -6.6℃	+0.00[kg/m^2]  -> 2.809[kg/m^2]
2017-01-31 05:37:00,	normal, 	0,	 -6.6℃	+0.00[kg/m^2]  -> 2.797[kg/m^2]
2017-01-31 05:40:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 2.792[kg/m^2]
2017-01-31 05:43:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 2.789[kg/m^2]
2017-01-31 05:46:00,	random, 	1,	 -6.5℃	+0.00[kg/m^2]  -> 2.789[kg/m^2]
2017-01-31 05:49:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 2.758[kg/m^2]
2017-01-31 05:52:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 2.746[kg/m^2]
2017-01-31 05:55:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 2.740[kg/m^2]
2017-01-31 05:58:00,	random, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 2.738[kg/m^2]
2017-01-31 06:01:00,	normal, 	0,	 -6.8℃	+0.00[kg/m^2]  -> 2.737[kg/m^2]
2017-01-31 06:04:00,	random, 	0,	 -6.8℃	+0.00[kg/m^2]  -> 2.737[kg/m^2]
2017-01-31 06:07:00,	normal, 	0,	 -6.8℃	+0.00[kg/m^2]  -> 2.737[kg/m^2]
2017-01-31 06:10:00,	normal, 	1,	 -6.9℃	+0.08[kg/m^2]  -> 2.815[kg/m^2]
2017-01-31 06:13:00,	normal, 	1,	 -6.9℃	+0.08[kg/m^2]  -> 2.863[kg/m^2]
2017-01-31 06:16:00,	normal, 	1,	 -6.9℃	+0.08[kg/m^2]  -> 2.899[kg/m^2]
2017-01-31 06:19:00,	normal, 	1,	 -6.9℃	+0.08[kg/m^2]  -> 2.929[kg/m^2]
2017-01-31 06:22:00,	normal, 	1,	 -6.9℃	+0.08[kg/m^2]  -> 2.958[kg/m^2]
2017-01-31 06:25:00,	normal, 	0,	 -6.9℃	+0.08[kg/m^2]  -> 2.988[kg/m^2]
2017-01-31 06:28:00,	normal, 	0,	 -6.9℃	+0.08[kg/m^2]  -> 3.045[kg/m^2]
2017-01-31 06:31:00,	normal, 	0,	 -7.0℃	+0.08[kg/m^2]  -> 3.115[kg/m^2]
2017-01-31 06:34:00,	normal, 	0,	 -7.0℃	+0.08[kg/m^2]  -> 3.189[kg/m^2]
2017-01-31 06:37:00,	normal, 	0,	 -7.0℃	+0.08[kg/m^2]  -> 3.266[kg/m^2]
2017-01-31 06:40:00,	normal, 	0,	 -7.0℃	+0.08[kg/m^2]  -> 3.343[kg/m^2]
2017-01-31 06:43:00,	normal, 	0,	 -7.0℃	+0.08[kg/m^2]  -> 3.421[kg/m^2]
2017-01-31 06:46:00,	normal, 	0,	 -7.0℃	+0.08[kg/m^2]  -> 3.499[kg/m^2]
2017-01-31 06:49:00,	random, 	1,	 -7.0℃	+0.08[kg/m^2]  -> 3.577[kg/m^2]
2017-01-31 06:52:00,	normal, 	0,	 -6.9℃	+0.08[kg/m^2]  -> 3.625[kg/m^2]
2017-01-31 06:55:00,	normal, 	0,	 -6.9℃	+0.08[kg/m^2]  -> 3.690[kg/m^2]
2017-01-31 06:58:00,	normal, 	0,	 -6.9℃	+0.08[kg/m^2]  -> 3.763[kg/m^2]
2017-01-31 07:01:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 3.839[kg/m^2]
2017-01-31 07:04:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 3.916[kg/m^2]
2017-01-31 07:07:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 3.994[kg/m^2]
