date, temperature, precipitation, snow accumulate, switch
----- day 1 -----
2017-01-28 11:20:30, -4.6, 0.004, 0.0478567737063, off
2017-01-28 11:21:00, -4.6, 0.004, 0.0497039246454, off
2017-01-28 11:21:30, -4.6, 0.004, 0.0516084639966, off
2017-01-28 11:22:00, -4.6, 0.004, 0.0535489568382, on
2017-01-28 11:22:30, -4.6, 0.004, 0.0523032725094, on
2017-01-28 11:23:00, -4.6, 0.004, 0.0490625722121, on
2017-01-28 11:23:30, -4.6, 0.004, 0.044572703766, off
2017-01-28 11:24:00, -4.6, 0.004, 0.0425093901468, off
2017-01-28 11:24:30, -4.6, 0.004, 0.0419654875241, off
2017-01-28 11:25:00, -4.6, 0.004, 0.0423729859062, off
2017-01-28 11:25:30, -4.6, 0.004, 0.0433762246039, off
2017-01-28 11:26:00, -4.6, 0.004, 0.0447525058524, off
2017-01-28 11:26:30, -4.6, 0.004, 0.0463623868792, off
2017-01-28 11:27:00, -4.6, 0.004, 0.0481185551861, off
2017-01-28 11:27:30, -4.6, 0.004, 0.0499663397482, off
2017-01-28 11:28:00, -4.6, 0.004, 0.0518715080636, off
2017-01-28 11:28:30, -4.6, 0.004, 0.053812625252, on
2017-01-28 11:29:00, -4.6, 0.004, 0.0525675606975, on
2017-01-28 11:29:30, -4.6, 0.004, 0.0493274762197, on
2017-01-28 11:30:00, -4.6, 0.004, 0.0448382200264, off
2017-01-28 11:30:30, -4.4, 0.004, 0.0427754332031, off
2017-01-28 11:31:00, -4.4, 0.004, 0.0422320518203, off
2017-01-28 11:31:30, -4.4, 0.004, 0.0426400656521, off
2017-01-28 11:32:00, -4.4, 0.004, 0.0436438138883, off
2017-01-28 11:32:30, -4.4, 0.004, 0.0450205987123, off
2017-01-28 11:33:00, -4.4, 0.004, 0.0466309773422, off
2017-01-28 11:33:30, -4.4, 0.004, 0.0483876372969, off
2017-01-28 11:34:00, -4.4, 0.004, 0.0502359075841, off
2017-01-28 11:34:30, -4.4, 0.004, 0.0521415557442, on
2017-01-28 11:35:00, -4.4, 0.004, 0.0508744379523, on
2017-01-28 11:35:30, -4.4, 0.004, 0.0476206990528, on
2017-01-28 11:36:00, -4.4, 0.004, 0.0431230458699, off
2017-01-28 11:36:30, -4.4, 0.004, 0.0410552346496, off
2017-01-28 11:37:00, -4.4, 0.004, 0.0405088890712, off
2017-01-28 11:37:30, -4.4, 0.004, 0.040915227458, off
2017-01-28 11:38:00, -4.4, 0.004, 0.0419181059683, off
2017-01-28 11:38:30, -4.4, 0.004, 0.0432945243483, off
2017-01-28 11:39:00, -4.4, 0.004, 0.0449048504577, off
2017-01-28 11:39:30, -4.4, 0.004, 0.0466616532609, off
2017-01-28 11:40:00, -4.4, 0.004, 0.0485101875454, off
2017-01-28 11:40:30, -4.6, 0.004, 0.0504185210603, off
2017-01-28 11:41:00, -4.6, 0.004, 0.0523628334514, on
2017-01-28 11:41:30, -4.6, 0.004, 0.0511209759898, on
2017-01-28 11:42:00, -4.6, 0.004, 0.0478841017747, on
2017-01-28 11:42:30, -4.6, 0.004, 0.0433980535553, off
2017-01-28 11:43:00, -4.6, 0.004, 0.0413385511444, off
2017-01-28 11:43:30, -4.6, 0.004, 0.0407984456718, off
2017-01-28 11:44:00, -4.6, 0.004, 0.0412097240669, off
2017-01-28 11:44:30, -4.6, 0.004, 0.0422167237864, off
2017-01-28 11:45:00, -4.6, 0.004, 0.0435967459751, off
2017-01-28 11:45:30, -4.6, 0.004, 0.0452103472453, off
2017-01-28 11:46:00, -4.6, 0.004, 0.0469702147804, off
2017-01-28 11:46:30, -4.6, 0.004, 0.0488216774206, off
2017-01-28 11:47:00, -4.6, 0.004, 0.0507305026429, off
2017-01-28 11:47:30, -4.6, 0.004, 0.0526752556166, on
2017-01-28 11:48:00, -4.6, 0.004, 0.0514338058185, on
2017-01-28 11:48:30, -4.6, 0.004, 0.0481973180154, on
