date, select, act, reward, temp,	pre[mm/min], on time[min], road temp, snow[kg/m^2]
2016-12-01 06:04:00, n, 0, 0.0006,   3.0,	0.003,  0.00, 32, +0.00 -> 0.000
2016-12-01 06:07:00, n, 0, 0.0006,   3.0,	0.003,  0.00, 31, +0.00 -> 0.000
2016-12-01 06:10:00, n, 0, 0.0006,   3.3,	0.003,  0.00, 30, +0.00 -> 0.000
2016-12-01 06:13:00, n, 0, 0.0006,   3.3,	0.003,  0.00, 29, +0.00 -> 0.000
2016-12-01 06:16:00, n, 0, 0.0006,   3.3,	0.003,  0.00, 28, +0.00 -> 0.000
2016-12-01 06:19:00, n, 0, 0.0006,   3.3,	0.003,  0.00, 27, +0.00 -> 0.000
2016-12-01 06:22:00, n, 0, 0.0006,   3.4,	0.000,  0.00, 27, +0.00 -> 0.000
2016-12-01 06:25:00, n, 0, 0.0006,   3.4,	0.000,  0.00, 26, +0.00 -> 0.000
2016-12-01 06:28:00, n, 0, 0.0006,   3.4,	0.000,  0.00, 25, +0.00 -> 0.000
2016-12-01 06:31:00, n, 0, 0.0006,   3.4,	0.000,  0.00, 24, +0.00 -> 0.000
2016-12-01 06:34:00, n, 0, 0.0006,   3.4,	0.000,  0.00, 24, +0.00 -> 0.000
2016-12-01 06:37:00, n, 0, 0.0006,   3.4,	0.000,  0.00, 23, +0.00 -> 0.000
2016-12-01 06:40:00, n, 1,   -0.3,   3.0,	0.000,  3.00, 22, +0.00 -> 0.000
2016-12-01 06:43:00, n, 0, 0.0006,   3.0,	0.000,  0.00, 31, +0.00 -> 0.000
2016-12-01 06:46:00, n, 0, 0.0006,   3.0,	0.000,  0.00, 31, +0.00 -> 0.000
2016-12-01 06:49:00, n, 0, 0.0006,   3.0,	0.000,  0.00, 30, +0.00 -> 0.000
2016-12-01 06:52:00, n, 0, 0.0006,   3.3,	0.000,  0.00, 29, +0.00 -> 0.000
2016-12-01 06:55:00, n, 1,   -0.3,   3.3,	0.000,  3.00, 28, +0.00 -> 0.000
2016-12-01 06:58:00, n, 1,   -0.3,   3.3,	0.000,  6.00, 37, +0.00 -> 0.000
2016-12-01 07:01:00, n, 0, 0.0006,   3.4,	0.000,  0.00, 46, +0.00 -> 0.000
2016-12-01 07:04:00, n, 0, 0.0006,   3.4,	0.000,  0.00, 45, +0.00 -> 0.000
2016-12-01 07:07:00, n, 0, 0.0006,   3.4,	0.000,  0.00, 44, +0.00 -> 0.000
2016-12-01 07:10:00, n, 0, 0.0006,   3.6,	0.000,  0.00, 42, +0.00 -> 0.000
2016-12-01 07:13:00, n, 0, 0.0006,   3.6,	0.000,  0.00, 41, +0.00 -> 0.000
2016-12-01 07:16:00, n, 0, 0.0006,   3.6,	0.000,  0.00, 40, +0.00 -> 0.000
2016-12-01 07:19:00, n, 0, 0.0006,   3.6,	0.000,  0.00, 39, +0.00 -> 0.000
2016-12-01 07:22:00, n, 0, 0.0006,   3.7,	0.000,  0.00, 38, +0.00 -> 0.000
2016-12-01 07:25:00, n, 0, 0.0006,   3.7,	0.000,  0.00, 37, +0.00 -> 0.000
2016-12-01 07:28:00, r, 0, 0.0006,   3.7,	0.000,  0.00, 36, +0.00 -> 0.000
2016-12-01 07:31:00, n, 1,   -0.3,   3.8,	0.000,  3.00, 35, +0.00 -> 0.000
2016-12-01 07:34:00, n, 0, 0.0006,   3.8,	0.000,  0.00, 44, +0.00 -> 0.000
2016-12-01 07:37:00, n, 0, 0.0006,   3.8,	0.000,  0.00, 43, +0.00 -> 0.000
2016-12-01 07:40:00, n, 0, 0.0006,   3.8,	0.000,  0.00, 42, +0.00 -> 0.000
2016-12-01 07:43:00, n, 0, 0.0006,   3.8,	0.000,  0.00, 41, +0.00 -> 0.000
2016-12-01 07:46:00, n, 0, 0.0006,   3.8,	0.000,  0.00, 40, +0.00 -> 0.000
2016-12-01 07:49:00, n, 0, 0.0006,   3.8,	0.000,  0.00, 39, +0.00 -> 0.000
2016-12-01 07:52:00, n, 1,   -0.3,   3.8,	0.000,  3.00, 38, +0.00 -> 0.000
2016-12-01 07:55:00, n, 1,   -0.3,   3.8,	0.000,  6.00, 47, +0.00 -> 0.000
2016-12-01 07:58:00, n, 0, 0.0006,   3.8,	0.000,  0.00, 56, +0.00 -> 0.000
2016-12-01 08:01:00, n, 0, 0.0006,   4.2,	0.000,  0.00, 54, +0.00 -> 0.000
2016-12-01 08:04:00, n, 0, 0.0006,   4.2,	0.000,  0.00, 53, +0.00 -> 0.000
2016-12-01 08:07:00, n, 0, 0.0006,   4.2,	0.000,  0.00, 52, +0.00 -> 0.000
2016-12-01 08:10:00, n, 0, 0.0006,   4.2,	0.000,  0.00, 51, +0.00 -> 0.000
2016-12-01 08:13:00, n, 0, 0.0006,   4.2,	0.000,  0.00, 49, +0.00 -> 0.000
2016-12-01 08:16:00, n, 0, 0.0006,   4.2,	0.000,  0.00, 48, +0.00 -> 0.000
2016-12-01 08:19:00, n, 0, 0.0006,   4.2,	0.000,  0.00, 47, +0.00 -> 0.000
2016-12-01 08:22:00, n, 0, 0.0006,   4.5,	0.000,  0.00, 46, +0.00 -> 0.000
2016-12-01 08:25:00, n, 0, 0.0006,   4.5,	0.000,  0.00, 44, +0.00 -> 0.000
2016-12-01 08:28:00, n, 0, 0.0006,   4.5,	0.000,  0.00, 43, +0.00 -> 0.000
2016-12-01 08:31:00, n, 0, 0.0006,   4.8,	0.000,  0.00, 42, +0.00 -> 0.000
2016-12-01 08:34:00, n, 0, 0.0006,   4.8,	0.000,  0.00, 41, +0.00 -> 0.000
2016-12-01 08:37:00, n, 0, 0.0006,   4.8,	0.000,  0.00, 40, +0.00 -> 0.000
2016-12-01 08:40:00, n, 0, 0.0006,   4.9,	0.000,  0.00, 39, +0.00 -> 0.000
2016-12-01 08:43:00, n, 0, 0.0006,   4.9,	0.000,  0.00, 38, +0.00 -> 0.000
2016-12-01 08:46:00, n, 0, 0.0006,   4.9,	0.000,  0.00, 37, +0.00 -> 0.000
2016-12-01 08:49:00, n, 1,   -0.3,   4.9,	0.000,  3.00, 36, +0.00 -> 0.000
2016-12-01 08:52:00, n, 0, 0.0006,   5.0,	0.000,  0.00, 45, +0.00 -> 0.000
2016-12-01 08:55:00, r, 0, 0.0006,   5.0,	0.000,  0.00, 44, +0.00 -> 0.000
2016-12-01 08:58:00, n, 0, 0.0006,   5.0,	0.000,  0.00, 43, +0.00 -> 0.000
2016-12-01 09:01:00, n, 0, 0.0006,   5.3,	0.000,  0.00, 42, +0.00 -> 0.000
2016-12-01 09:04:00, n, 0, 0.0006,   5.3,	0.000,  0.00, 41, +0.00 -> 0.000
2016-12-01 09:07:00, n, 0, 0.0006,   5.3,	0.000,  0.00, 40, +0.00 -> 0.000
2016-12-01 09:10:00, n, 0, 0.0006,   5.1,	0.003,  0.00, 38, +0.00 -> 0.000
2016-12-01 09:13:00, n, 1,   -0.3,   5.1,	0.003,  3.00, 47, +0.00 -> 0.000
2016-12-01 09:16:00, n, 0, 0.0006,   5.1,	0.003,  0.00, 46, +0.00 -> 0.000
2016-12-01 09:19:00, n, 0, 0.0006,   5.1,	0.003,  0.00, 45, +0.00 -> 0.000
2016-12-01 09:22:00, n, 0, 0.0006,   4.9,	0.003,  0.00, 44, +0.00 -> 0.000
2016-12-01 09:25:00, n, 0, 0.0006,   4.9,	0.003,  0.00, 42, +0.00 -> 0.000
2016-12-01 09:28:00, n, 0, 0.0006,   4.9,	0.003,  0.00, 41, +0.00 -> 0.000
2016-12-01 09:31:00, n, 0, 0.0006,   5.1,	0.003,  0.00, 40, +0.00 -> 0.000
2016-12-01 09:34:00, n, 0, 0.0006,   5.1,	0.003,  0.00, 39, +0.00 -> 0.000
2016-12-01 09:37:00, n, 0, 0.0006,   5.1,	0.003,  0.00, 38, +0.00 -> 0.000
2016-12-01 09:40:00, n, 1,   -0.3,   5.8,	0.003,  3.00, 47, +0.00 -> 0.000
2016-12-01 09:43:00, n, 0, 0.0006,   5.8,	0.003,  0.00, 46, +0.00 -> 0.000
2016-12-01 09:46:00, n, 0, 0.0006,   5.8,	0.003,  0.00, 45, +0.00 -> 0.000
2016-12-01 09:49:00, n, 0, 0.0006,   5.8,	0.003,  0.00, 44, +0.00 -> 0.000
