date, select, act, reward, temp,	pre[mm/min], on time[min], road temp, snow[kg/m^2]
2016-12-09 04:04:00, r, 1,   -0.3,  -2.2,	0.000,  3.00, 65, +0.00 -> 0.000
2016-12-09 04:07:00, n, 0,    0.3,  -2.2,	0.000,  0.00, 70, +0.00 -> 0.000
2016-12-09 04:10:00, n, 0,    0.3,  -2.3,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-09 04:13:00, n, 0,    0.3,  -2.3,	0.000,  0.00, 66, +0.00 -> 0.000
2016-12-09 04:16:00, n, 0,    0.3,  -2.3,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-09 04:19:00, n, 0,    0.3,  -2.3,	0.000,  0.00, 63, +0.00 -> 0.000
2016-12-09 04:22:00, n, 0,    0.3,  -1.9,	0.000,  0.00, 62, +0.00 -> 0.000
2016-12-09 04:25:00, r, 0,    0.3,  -1.9,	0.000,  0.00, 61, +0.00 -> 0.000
2016-12-09 04:28:00, n, 1,   -0.3,  -1.9,	0.000,  3.00, 59, +0.00 -> 0.000
2016-12-09 04:31:00, n, 0,    0.3,  -2.4,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-09 04:34:00, n, 0,    0.3,  -2.4,	0.000,  0.00, 67, +0.00 -> 0.000
2016-12-09 04:37:00, n, 0,    0.3,  -2.4,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-09 04:40:00, r, 0,    0.3,  -2.0,	0.000,  0.00, 64, +0.00 -> 0.000
2016-12-09 04:43:00, n, 1,   -0.3,  -2.0,	0.000,  3.00, 62, +0.00 -> 0.000
2016-12-09 04:46:00, n, 0,    0.3,  -2.0,	0.000,  0.00, 70, +0.00 -> 0.000
2016-12-09 04:49:00, n, 0,    0.3,  -2.0,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-09 04:52:00, n, 0,    0.3,  -2.0,	0.000,  0.00, 66, +0.00 -> 0.000
2016-12-09 04:55:00, n, 0,    0.3,  -2.0,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-09 04:58:00, n, 0,    0.3,  -2.0,	0.000,  0.00, 63, +0.00 -> 0.000
2016-12-09 05:01:00, n, 1,   -0.3,  -2.1,	0.000,  3.00, 61, +0.00 -> 0.000
2016-12-09 05:04:00, n, 0,    0.3,  -2.1,	0.000,  0.00, 70, +0.00 -> 0.000
2016-12-09 05:07:00, n, 0,    0.3,  -2.1,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-09 05:10:00, n, 0,    0.3,  -2.2,	0.000,  0.00, 66, +0.00 -> 0.000
2016-12-09 05:13:00, n, 0,    0.3,  -2.2,	0.000,  0.00, 64, +0.00 -> 0.000
2016-12-09 05:16:00, n, 0,    0.3,  -2.2,	0.000,  0.00, 63, +0.00 -> 0.000
2016-12-09 05:19:00, n, 1,   -0.3,  -2.2,	0.000,  3.00, 61, +0.00 -> 0.000
2016-12-09 05:22:00, n, 0,    0.3,  -2.2,	0.000,  0.00, 70, +0.00 -> 0.000
2016-12-09 05:25:00, n, 0,    0.3,  -2.2,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-09 05:28:00, n, 0,    0.3,  -2.2,	0.000,  0.00, 67, +0.00 -> 0.000
2016-12-09 05:31:00, n, 0,    0.3,  -2.1,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-09 05:34:00, r, 1,   -0.3,  -2.1,	0.000,  3.00, 64, +0.00 -> 0.000
2016-12-09 05:37:00, n, 0,    0.3,  -2.1,	0.000,  0.00, 70, +0.00 -> 0.000
2016-12-09 05:40:00, n, 0,    0.3,  -1.9,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-09 05:43:00, n, 0,    0.3,  -1.9,	0.000,  0.00, 67, +0.00 -> 0.000
2016-12-09 05:46:00, n, 0,    0.3,  -1.9,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-09 05:49:00, n, 0,    0.3,  -1.9,	0.000,  0.00, 64, +0.00 -> 0.000
2016-12-09 05:52:00, n, 1,   -0.3,  -2.0,	0.000,  3.00, 63, +0.00 -> 0.000
2016-12-09 05:55:00, n, 0,    0.3,  -2.0,	0.000,  0.00, 70, +0.00 -> 0.000
